No.,Zone Name,Channel Members
1,Richmond,RIC RVA Metro|RIC VA Statewide|RIC HEARS|RIC TAC A|RIC TAC B|RIC VA Shen Vall|RIC VA Southwest|RIC VA Peninsula|RIC VA Tidewater|RIC Quiet|RIC Echo Test|RIC Clear Timesl|RIC TAC C*|RATS UHF
2,Beaverdam,BEA RVA Metro|BEA VA Statewide|BEA HEARS|BEA TAC A|BEA TAC B|BEA VA Shen Vall|BEA VA Southwest|BEA VA Peninsula|BEA VA Tidewater|BEA Quiet|BEA Echo Test|BEA Clear Timesl
3,Goochland,GCH RVA Metro|GCH VA Statewide|GCH HEARS|GCH TAC A|GCH TAC B|GCH VA Shen Vall|GCH VA Southwest|GCH VA Peninsula|GCH VA Tidewater|GCH Quiet|GCH Echo Test|GCH Clear Timesl
4,Lexington1,LX1 RVA Metro|LX1 VA Statewide|LX1 HEARS|LX1 TAC A|LX1 TAC B|LX1 VA Shen Vall|LX1 VA Southwest|LX1 Quiet|LX1 Echo Test|LX1 Clear Timesl
5,Middlesex,MDX RVA Metro|MDX VA Statewide|MDX HEARS|MDX TAC A|MDX TAC B|MDX VA Shen Vall|MDX VA Southwest|MDX VA Peninsula|MDX VA Tidewater|MDX Quiet|MDX Echo Test|MDX Clear Timesl
6,New Kent,NKC RVA Metro|NKC VA Statewide|NKC HEARS|NKC TAC A|NKC TAC B|NKC VA Shen Vall|NKC VA Southwest|NKC VA Peninsula|NKC VA Tidewater|NKC Quiet|NKC Echo Test|NKC Clear Timesl|NKC Monitor TS1|NKC Monitor TS2
7,Petersburg,PBG RVA Metro|PBG VA Statewide|PBG HEARS|PBG TAC A|PBG TAC B|PBG VA Shen Vall|PBG VA Southwest|PBG VA Peninsula|PBG VA Tidewater|PBG Quiet|PBG Echo Test|PBG Clear Timesl|PBG TAC C*
8,Portables,POR RVA Metro|POR VA Statewide|POR HEARS|POR TAC A|POR TAC B|POR VA Shen Vall|POR VA Southwest|POR VA Peninsula|POR VA Tidewater|POR Quiet|POR Echo Test|POR Clear Timesl|POR TAC C*
9,Powhatan,POW RVA Metro|POW VA Statewide|POW HEARS|POW TAC A|POW TAC B|POW VA Shen Vall|POW VA Southwest|POW VA Peninsula|POW VA Tidewater|POW Quiet|POW Echo Test|POW Clear Timesl
